,RECORD #(BIBLIO),Class cutter?,New 852,Main entry,,001,Old 852(s),,,,,
1063,b164728181,Yes,ML102.O7 O74 2006,Organ,,58451784,JMF 06-2314,,,,,
1086,b165968047,Yes,ML102.P4 E539 2007,Encyclopedia,,vendor,JMF 07-1593,,,,,
1020,b161908330,Yes,ML102.P5 D44 2002,Dees,,48613151,JME 05-450 Library has: v. 1-2,,,,,
0160,b108090267,Yes,ML102.P66 B65 1983,Booth,,NYPG83-B59827,JNE 83-39,,,,,
1041,b163510945,Yes,ML102.P66 B88 2003,Budnick,,52728787,JME 06-496,,,,,
0947,b156009018,Yes,ML102.P66 C66 2003,Continuum,,50235133,JMM 03-39 Library has: v. 1-12. Open Shelf Reference: Popular Music General.,,,,,
0577,b121005884,Yes,ML102.P66 F2 1993,Facts,,28292910,"*LAD 95-1167;""JNF 95-167""",,,,,
0382,b114987804,Yes,ML102.P66 G35 1991,Gammond,,NYPG91-B71286,JME 91-483,,,,,
0744,b138802610,Yes,ML102.P66 H47 1998,Harrison,,38964064,JMF 98-843,,,,,
0933,b155223653,Yes,ML102.P66 H57 2002,Hischak,,vendor,JME 02-1143,,,,,
0896,b154584824,Yes,ML102.P66 I54,International,,50172992,JMM 98-88 Library has: 4th ed. (2002)-,,,,,
0021,b10363695x,Yes,ML102.P66 K5 1916,Kinkle,TRUE,NYPG764248401-B,"JNE 75-21;""*R-Phono 77-5784""",,,,,
0116,b117853203,Yes,ML102.P66 L37 G8 1992,Larkin,,NYPG93-B56683,JME 93-502,,,,,
0736,b137900752,Yes,ML102.P66 L37 G84 1998,Larkin,,39837948,"JMF 99-119;""*L 99-70""",,,,,
1059,b164570846,Yes,ML102.P66 L37 G84 2006,Larkin,,70062973,JMF 07-820,,,,,
0256,b151512759,Yes,ML102.P66 L37 V5 2002,Larkin,TRUE,50127390,JMF 04-366,,,,,
0283,b160793567,Yes,ML102.P66 M3 2005,Maréchal,TRUE,57765921,JMG 05-503,,,,,
1016,b161869506,Yes,ML102.P66 M67 2006,Moskowitz,,vendor,JMF 05-539,,,,,
0838,b145390950,Yes,ML102.P66 R67 2000,Rosalsky,,vendor,"JMD 00-383;""Sc *781.643-R (Rosalsky","M. Encyclopedia of rhythm & blues)""",,,,
0083,b105344096,Yes,ML102.P66 R7 1978,Roxon,,NYPG794053872-B,JME 98-38,,,,,
0164,b108123170,Yes,ML102.P66 S5 1982,Shaw,,NYPG83-B63457,JNE 83-35,,,,,
0326,b113688933,Yes,ML102.P66 S7 1989,Stambler,,NYPG89-B40633,*LAD 89-4437; JME 90-263,,,,,
0975,b159414635,Yes,ML102.P66 T38 2004,Taylor,,56112415,JMF 04-418,,,,,
1221,b200614356,Yes,ML102.P79 M87 2014,Music,,875674934,JMF 14-243,,,,,
0301,b165044755,Yes,ML102.R2 R3 2004,Ramanathan,TRUE,65341668,JMF 07-464,,,,,
1311,b221792922,Yes,ML102.R27 B96 2006,Bynoe,,60835444,"Sc *784-B (Bynoe, Y. Encyclopedia of rap and hip-hop culture);""JMF 06-222""",,,,,
1045,b16387878x,Yes,ML102.R6 C64 2006,Cogan,,vendor,JMF 06-916,,,,,
0520,b118807262,Yes,ML102.R6 E539 1988,Encyclopedia,,NYPG94-B21817,*LE 94-544,,,,,
0142,b107620984,Yes,ML102.R6 H5 1982,Helander,,NYPG83-B10750,"*R-Phono 83-942;""Sc E 83-182""",,,,,
0871,b150297695,Yes,ML102.R6 H5 1996,Helander,,34984328,JMF 04-364,,,,,
0133,b118793809,Yes,ML102.R6 N48 1992,New,TRUE,NYPG94-B19185,JMF 94-385,,,,,
0143,b107651105,Yes,ML102.R6 N49,Nite,,NYPG83-B13643,JNL 82-1,,,,,
0140,b11944107x,Yes,ML102.R6 R43 1994,Rees,TRUE,32202273,JME 95-190,,,,,
0183,b108503379,Yes,ML102.R6 R64 1983,Rolling,,NYPG84-B27556,*L 84-2695,,,,,
0247,b147504144,Yes,ML102.R6 T35 1999,Talevski,TRUE,41620766,JME 00-566,,,,,
1324,b222030537,Yes,ML102.S6 D39 2013,Daykin,,823742337,JMF 13-136,,,,,
1030,b162977402,Yes,ML102.S6 E46 2006,Emmons,,57465627,JMF 06-34,,,,,
0099,b116007643,Yes,ML102.S65 G74 1991,Gregory,TRUE,NYPG92-B40572,*L 92-772,,,,,
0466,b117422629,Yes,ML102.S65 T43 1992,Tee,,NYPG93-B38703,JNE 93-30,,,,,
0983,b160012673,Yes,ML102.S67 E5 2005,Encyclopedia,,2003026491,*L 05-800,,,,,
0771,b14296475x,Yes,ML102.T45 B87 1999,Burr,,40433214,JME 99-622,,,,,
1172,b19421803x,Yes,ML102.T47 R63 2011,Robinson,,732960092,JMF 12-89,,,,,
0839,b145390962,Yes,ML102.T58 R66 2000,Room,,vendor,JMF 00-288,,,,,
1233,b203095364,Yes,ML102.V6 H63 2014,Hoch,,862928911,JMF 14-215,,,,,
0152,b120299513,Yes,ML102.W67 B76 1994,Broughton,TRUE,31515907,"*L 95-912;""JME 96-116""",,,,,
0954,b15802400x,Yes,ML102.Z37 D53 2002,Diccionario,,52631097,JMM 03-59 Library has: v. 1-2.,,,,,
1087,b166482547,Yes,ML102.Z37 D53 2006,Diccionario,,85490430,JMF 07-1582,,,,,
1008,b161616318,,ML1030.H65 2005,,,vendor,JMF 05-535,,,,,
0050,b103159010,,ML1030.P45 H3 1976,,,NYPG764784647-B,JMF 76-836,,,,,
0401,b115341407,,ML105.B16 1991,,,NYPG92-B16810,JME 92-132,,,,,
0843,b146024059,,ML105.B16 2001,Baker's,,44972043,JMF 01-61,,,,,
