907$a,998$a,998$d
.b19664379x,mai,h  
.b196643806,mai,h  
.b196643818,mai,h  
.b19664382x,mai,h  
.b196643831,mai,h  
.b196643843,mai,h  
.b196643855,mai,h  
.b196643867,mai,h  
.b196643879,mai,h  
.b196643880,mai,h  
.b196643892,mai,h  
.b196643909,mai,h  
.b196643910,mai,h  
.b196643922,mai,h  
.b196643934,mai,h  
.b196643946,mai,h  
.b196643958,mai,h  
.b19664396x,mai,h  
.b196643971,mai,h  
.b196643983,mai,h  
.b196643995,mai,h  
.b196644008,mai,h  
.b19664401x,mai,h  
.b196644021,mai,h  
.b196644033,mai,h  
.b196644045,mai,h  
.b196644057,mai,h  
.b196644069,mai,h  
.b196644070,mai,h  
.b196644082,mai,h  
.b196644094,mai,h  
.b196644100,mai,h  
.b196644112,mai,h  
.b196644124,mai,h  
.b196644136,mai,h  
.b196644148,mai,h  
.b19664415x,mai,h  
.b196644161,mai,h  
.b196644173,mai,h  
.b196644185,mai,h  
.b196644197,mai,h  
.b196644203,mai,h  
.b196644215,mai,h  
.b196644227,mai,h  
.b196644239,mai,h  
.b196644240,mai,h  
.b196644252,mai,h  
.b196644264,mai,h  
.b196644276,mai,h  
.b196644288,mai,h  
.b19664429x,mai,h  
.b196644306,mai,h  
.b196644318,mai,h  
.b19664432x,mai,h  
.b196644331,mai,h  
.b196644343,mai,h  
.b196644355,mai,h  
.b196644367,mai,h  
.b196644379,mai,h  
.b196644380,mai,h  
.b196644392,mai,h  
.b196644409,mai,h  
.b196644410,mai,h  
.b196644422,mai,h  
.b196644434,mai,h  
.b196644446,mai,h  
.b196644458,mai,h  
.b19664446x,mai,h  
.b196644471,mai,h  
.b196644483,mai,h  
.b196644495,mai,h  
.b196644501,mai,h  
.b196644513,mai,h  
.b196644525,mai,h  
.b196644537,mai,h  
.b196644549,mai,h  
.b196644550,mai,h  
.b196644562,mai,h  
.b196644574,mai,h  
.b196644586,mai,h  
.b196644598,mai,h  
.b196644604,mai,h  
.b196644616,mai,h  
.b196644628,mai,h  
.b19664463x,mai,h  
.b196644641,mai,h  
.b196644653,mai,h  
.b196644665,mai,h  
.b196644677,mai,h  
.b196644689,mai,h  
.b196644690,mai,h  
.b196644707,mai,h  
.b196644719,mai,h  
.b196644720,mai,h  
.b196644732,mai,h  
.b196644744,mai,h  
.b196644756,mai,h  
.b196644768,mai,h  
.b19664477x,mai,h  
.b196644781,mai,h  
.b196644793,mai,h  
.b19664480x,mai,h  
.b196644811,mai,h  
.b196644823,mai,h  
.b196644835,mai,h  
.b196644847,mai,h  
.b196644859,mai,h  
.b196644860,mai,h  
.b196644872,mai,h  
.b196644884,mai,h  
.b196644896,mai,h  
.b196644902,mai,h  
.b196644914,mai,h  
.b196644926,mai,h  
.b196644938,mai,h  
.b19664494x,mai,h  
.b196644951,mai,h  
.b196644963,mai,h  
.b196644975,mai,h  
.b196644987,mai,h  
.b196644999,mai,h  
.b196645001,mai,h  
.b196645013,mai,h  
.b196645025,mai,h  
.b196645037,mai,h  
.b196645049,mai,h  
.b196645050,mai,h  
.b196645062,mai,h  
.b196645074,mai,h  
.b196645086,mai,h  
.b196645098,mai,h  
.b196645104,mai,h  
.b196645116,mai,h  
.b196645128,mai,h  
.b19664513x,mai,h  
.b196645141,mai,h  
.b196645153,mai,h  
.b196645165,mai,h  
.b196645177,mai,h  
.b196645189,mai,h  
.b196645190,mai,h  
.b196645207,mai,h  
.b196645219,mai,h  
.b196645220,mai,h  
.b196645232,mai,h  
.b196645244,mai,h  
.b196645256,mai,h  
.b196645268,mai,h  
.b19664527x,mai,h  
.b196645281,mai,h  
.b196645293,mai,h  
.b19664530x,mai,h  
.b196645311,mai,h  
.b196851920,mai,h  
.b196851932,mai,h  
.b196851944,mai,h  
.b196851956,mai,h  
.b196851968,iarch@mai@ia,w  
.b19685197x,iarch@mai@ia,w  
.b196851981,mai,h  
.b196851993,iarch@mai@ia,w  
.b196852006,iarch@mai@ia,w  
.b196852018,mai,h  
.b19685202x,mai,h  
.b196852031,mai,h  
.b196852043,mai,h  
.b196852055,mai,h  
.b196852067,mai,h  
.b196852079,mai,h  
.b196852080,mai,h  
.b196852092,mai,h  
.b196852109,mai,h  
.b196852110,mai,h  
.b196852122,mai,h  
.b196852134,mai,h  
.b196852146,mai,h  
.b196852158,mai,h  
.b19685216x,mai,h  
.b196852171,mai,h  
.b196852183,mai,h  
.b196852195,mai,h  
.b196852201,mai,h  
.b196852213,mai,h  
.b196852225,mai,h  
.b196852237,mai,h  
.b196852249,mai,h  
.b196852250,mai,h  
.b196852262,mai,h  
.b196852274,mai,h  
.b196852286,mai,h  
.b196852298,mai,h  
.b196852304,mai,h  
.b196852316,mai,h  
.b196852328,mai,h  
.b19685233x,mai,h  
.b196852341,mai,h  
.b196852353,mai,h  
.b196852365,mai,h  
.b196852377,mai,h  
.b196852389,mai,h  
.b196852390,mai,h  
.b196852407,mai,h  
.b196852419,mai,h  
.b196852420,mai,h  
.b196852432,mai,h  
.b196852444,mai,h  
.b196852456,mai,h  
.b196852468,mai,h  
.b19685247x,mai,h  
.b196852481,mai,h  
.b196852493,mai,h  
.b19685250x,mai,h  
.b196852511,mai,h  
.b196852523,mai,h  
.b196852535,mai,h  
.b196852547,mai,h  
.b196852559,mai,h  
.b196852560,mai,h  
.b196852572,mai,h  
.b196852584,mai,h  
.b196852596,mai,h  
.b196852602,mai,h  
.b196852614,mai,h  
.b196852626,mai,h  
.b196852638,mai,h  
.b19685264x,iarch@mai@ia,w  
.b196852742,mai,h  
.b196852754,mai,h  
.b196852766,mai,h  
.b197060341,mai,h  
.b197060353,mai,h  
.b197060365,mai,h  
.b197060377,mai,h  
.b197060389,mai,h  
.b197060390,mai,h  
.b197060407,mai,h  
.b197060419,mai,h  
.b197060420,mai,h  
.b197060432,mai,h  
.b197060444,mai,h  
.b197060456,mai,h  
.b197060468,mai,h  
.b19706047x,mai,h  
.b197060481,mai,h  
.b197060493,mai,h  
.b19706050x,mai,h  
.b197060511,mai,h  
.b197060523,mai,h  
.b197060535,mai,h  
.b197060547,mai,h  
.b197060559,mai,h  
.b197060560,mai,h  
.b197060572,mai,h  
.b197060584,mai,h  
.b197060596,mai,h  
.b197060602,mai,h  
.b197060614,mai,h  
.b197060626,mai,h  
.b197060638,mai,h  
.b19706064x,mai,h  
.b197060651,mai,h  
.b197060663,mai,h  
.b197060675,mai,h  
.b197060687,mai,h  
.b197060699,mai,h  
.b197060705,mai,h  
.b197060717,mai,h  
.b197060729,mai,h  
.b197060730,mai,h  
.b197060742,mai,h  
.b197060754,mai,h  
.b197060766,mai,h  
.b197060778,mai,h  
.b19706078x,mai,h  
.b197060791,mai,h  
.b197060808,mai,h  
.b19706081x,mai,h  
.b197060821,mai,h  
.b197060833,mai,h  
.b197060845,mai,h  
.b197060857,mai,h  
.b197060869,mai,h  
.b197060870,mai,h  
.b197060882,mai,h  
.b197060894,mai,h  
.b197060900,mai,h  
.b197060912,mai,h  
.b197060924,mai,h  
.b197060936,mai,h  
.b197060948,mai,h  
.b19706095x,mai,h  
.b197060961,mai,h  
.b197060973,mai,h  
.b197060985,mai,h  
.b197060997,mai,h  
.b19706100x,mai,h  
.b197061011,mai,h  
.b197061023,mai,h  
.b197061035,mai,h  
.b197061047,mai,h  
.b197061059,mai,h  
.b197061060,mai,h  
.b197061072,mai,h  
.b197061084,mai,h  
.b197061096,mai,h  
.b197061102,mai,h  
.b197061114,mai,h  
.b197061126,mai,h  
.b197061138,mai,h  
.b19706114x,mai,h  
.b197061151,mai,h  
.b197061163,mai,h  
.b197061175,mai,h  
.b197061187,mai,h  
.b197061199,mai,h  
.b197061205,mai,h  
.b197061217,mai,h  
.b197061229,mai,h  
.b197061230,mai,h  
.b197061242,mai,h  
.b197061254,mai,h  
.b197061266,mai,h  
.b197061278,mai,h  
.b19706128x,mai,h  
.b197061291,mai,h  
.b197061308,mai,h  
.b19706131x,mai,h  
.b197061321,mai,h  
.b197061333,mai,h  
.b197061345,mai,h  
.b197061357,mai,h  
.b197061369,mai,h  
.b197061370,mai,h  
.b197061382,mai,h  
.b197061394,mai,h  
.b197061400,mai,h  
.b197061412,mai,h  
.b197061424,mai,h  
.b197061436,mai,h  
.b197061448,mai,h  
.b19706145x,mai,h  
.b197061461,mai,h  
.b197061473,mai,h  
.b197061485,mai,h  
.b197061497,mai,h  
.b197061503,mai,h  
.b197061515,mai,h  
.b197061527,mai,h  
.b197061539,mai,h  
.b197061540,mai,h  
.b197061552,mai,h  
.b197061564,mai,h  
.b197061576,mai,h  
.b197061588,mai,h  
.b19706159x,mai,h  
.b197061606,mai,h  
.b197061618,mai,h  
.b19706162x,mai,h  
.b197061631,mai,h  
.b197061643,mai,h  
.b197061655,mai,h  
.b197061667,mai,h  
.b197061679,mai,h  
.b197061680,mai,h  
.b197061692,mai,h  
.b197061709,mai,h  
.b197061710,mai,h  
.b197061722,mai,h  
.b197061734,mai,h  
.b197061746,mai,h  
.b197061758,mai,h  
.b19706176x,mai,h  
.b197061771,mai,h  
.b197061783,mai,h  
.b197061795,mai,h  
